Title,Description,Requirement
PPP Research Analyst,Key ResponsibilitiesDeveloping detailed workplans and timelines for the delivery of assignmentsSupporting efforts to build consensus around... ,none
Financial Analyst,"Brief Job DescriptionThe role would be responsible for Costing, Data analysis and Business Plan preparation for the Group companies. An MBA... ",ACCOUNTING BUDGETING BUSINESS PLAN CONTROLLING FINANCE FINANCIAL PLANNING FINANCIAL STATEMENTS
Senior Cost Analyst,"1) The tissue in plants that brings water upward from the roots;2) a leading global water technology company.Xylem, a leading global water... ",ACCOUNTING CONTROLLING COST ACCOUNTING FINANCE INVENTORY
"Associate Principal ,Credit Analyst","Job Summary To provide insightful, relevant, succinct and timely credit analysis of a portfolio of SCB’s clients (current or... ",ACCOUNTING AUDIT BALANCE SHEET BANK CASH MANAGEMENT CONTROLLING CREDIT ANALYSIS CREDIT RISK FINANCIAL ANALYSIS FINANCIAL STATEMENTS FUNDING RISK ANALYSIS RISK MANAGEMENT
"Associate Principal ,Credit Analyst","Job Summary To provide insightful, relevant, succinct and timely credit analysis of a portfolio of SCB’s clients (current or... ",ACCOUNTING AUDIT BALANCE SHEET BANK CASH MANAGEMENT CONTROLLING CREDIT ANALYSIS CREDIT RISK FINANCIAL ANALYSIS FINANCIAL STATEMENTS FUNDING RISK ANALYSIS RISK MANAGEMENT
"Associate Principal ,Credit Analyst","Job Summary To provide insightful, relevant, succinct and timely credit analysis of a portfolio of SCB’s clients (current or... ",ACCOUNTING AUDIT BALANCE SHEET BANK CASH MANAGEMENT CONTROLLING CREDIT ANALYSIS CREDIT RISK FINANCIAL ANALYSIS FINANCIAL STATEMENTS FUNDING RISK ANALYSIS RISK MANAGEMENT
Import / Export Specialist,We are in need for profiles and CVs of Import / Export Specialists that will be sent to our large account customers for their... ,EXPORT IMPORT TRANSPORT
State Policy Reform Advisor,"Position SummaryWork with state governments and other stakeholders to map and review existing education policy frameworks, especially... ",EDUCATION HEALTH
Manager/Strategy,"Brief Job DescriptionAs a member of the group’s strategy team, an incumbent will assist the MD office, Business leadership team, and... ",BUSINESS PROCESSES BUSINESS STRATEGY GOVERNANCE LEADERSHIP MANAGEMENT PLANNING STRATEGY
Admin for D365 CRM Techno Functional Consultant,Role OverviewThe Dynamics CRM Techno Functional Consultant is a core team member of the firms customer delivery of Microsoft Dynamics 365... ,AGILE ASP AUTOMATE AZURE BI C# DELTA GAP MICROSOFT NET SPECTRUM
